year,population_18plus_persons,primary_rate_percent,robust_rate_percent,structure_lower_rate_percent,structure_upper_rate_percent,primary_burden_persons,robust_burden_persons,structure_lower_burden_persons,structure_upper_burden_persons
2024,1141115304,57.2572253033802,56.3012402224168,55.0011969240511,57.2572253033802,653370960.582632,642462068.519801,627627075.483524,653370960.582632
2025,1145889628,58.532292423911,57.361189121864,55.7919600973026,58.532292423911,670715467.916226,657295916.644904,639314284.012889,670715467.916226
2026,1151228544,59.7960308360096,58.4057134201128,56.5569197145808,59.7960308360096,688388975.163185,672383244.219177,651099403.361418,688388975.163185
2027,1157032065,61.0468866549885,59.4344246113859,57.2964429596651,61.0468866549885,706332053.282423,687675350.401986,662938217.147761,706332053.282423
2028,1162735266,62.2833723488937,60.4469783438773,58.010938012422,62.2833723488937,724190735.15468,702838334.435644,674513634.40783,724190735.15468
2029,1168115728,63.5040731741303,61.4430727850017,58.7008488026485,63.5040731741303,741801066.667645,717726196.968092,685693847.333236,741801066.667645
2030,1173939515,64.7076528512985,62.4224469407754,59.3666501031233,64.7076528512985,759628706.050417,732801770.867671,696928564.292353,759628706.050417
2031,1179759695,65.8928584437327,63.3848789418577,60.0088429583286,65.8928584437327,777377385.802562,747789254.480579,707960142.658206,777377385.802562
2032,1185085889,67.0585244145305,64.330184307748,60.6279504425427,67.0585244145305,794701110.20822,762367936.598813,718493285.484487,794701110.20822
2033,1189761342,68.2035758509708,65.2582141996284,61.2245137387499,68.2035758509708,811459779.336498,776417005.026733,728425596.291125,811459779.336498
2034,1193959615,69.3270308578647,66.1688536713653,61.7990885279958,69.3270308578647,827736750.721492,790029390.544546,737856159.462368,827736750.721492
2035,1198261258,70.4280021332861,67.0620199272467,62.3522416774039,70.4280021332861,843911464.34658,803578203.620437,747142755.51486,843911464.34658
2036,1200813227,71.5056977510725,67.9376605941341,62.8845482139977,71.5056977510725,858649876.65352,815804414.52873,755125972.692877,858649876.65352
2037,1201279932,72.5594211842786,68.7957520148561,63.3965885707108,72.5594211842786,871641765.462096,826429563.022952,761570496.072555,871641765.462096
2038,1199747719,73.5885706122792,69.6362975688622,63.8889460904641,73.5885706122792,882877197.365525,835459891.678476,766506173.413482,882877197.365525
2039,1195888157,74.5926375613523,70.4593260253965,64.3622047739152,74.5926375613523,892044518.590146,842614735.439736,769699984.475341,892044518.590146
2040,1190560185,75.5712049342928,71.2648899337395,64.8169472564006,75.5712049342928,899720677.272446,848451405.435176,771684767.167155,899720677.272446
2041,1184188195,76.5239444888979,72.0530640543996,65.2537529996651,76.5239444888979,906187516.985882,853243878.667988,772727239.816492,906187516.985882
2042,1177236144,77.4506138280709,72.8239438345237,65.6731966841866,77.4506138280709,911776619.733912,857309788.306273,773128608.286455,911776619.733912
2043,1169944842,78.3510529658706,73.5776439302237,66.0758467882191,78.3510529658706,916664102.826891,860817850.026778,773050961.306592,916664102.826891
2044,1162327039,79.2251805341885,74.3142967779923,66.4622643400819,79.2251805341885,920855695.045438,863775165.29331,772508869.156427,920855695.045438
2045,1154373395,80.0729896939757,75.0340512169029,66.8330018306991,80.0729896939757,924341289.608347,866173124.438601,771502392.213453,924341289.608347
2046,1146075946,80.8945438132043,75.7370711628504,67.1886022739144,80.8945438132043,927112908.269566,868004354.802331,770032409.114942,927112908.269566
2047,1137483419,81.689971971164,76.4235343356925,67.5295984026716,81.689971971164,929209886.157738,869305031.282274,768137984.747678,929209886.157738
2048,1128633636,82.4594643454167,77.0936310397959,67.8565119897342,82.4594643454167,930665250.6678,870104651.128873,765851418.532513,930665250.6678
2049,1119537223,83.2032675339,77.7475629981668,68.1698532822253,83.2032675339,931491550.794284,870412907.739853,763186882.358999,931491550.794284
2050,1110232041,83.9216798604218,78.3855422400629,68.4701205398688,83.9216798604218,931725379.155847,870261405.460768,760177216.744946,931725379.155847
