scenario,year,coverage_mode,adherence_mode,effect_mode,implementation_ramp,achieved_reduction_fraction,baseline_burden_persons,scenario_burden_persons,avoidable_burden_persons
low,2024,0.25,0.4,0.05,0,0,653370960.582632,653370960.582632,0
low,2025,0.25,0.4,0.05,0.166666666666667,0.000833333333333333,670715467.916226,670156538.35963,558929.556596875
low,2026,0.25,0.4,0.05,0.333333333333333,0.00166666666666667,688388975.163185,687241660.204579,1147314.95860529
low,2027,0.25,0.4,0.05,0.5,0.0025,706332053.282423,704566223.149217,1765830.13320601
low,2028,0.25,0.4,0.05,0.666666666666667,0.00333333333333333,724190735.15468,721776766.037498,2413969.11718225
low,2029,0.25,0.4,0.05,0.833333333333333,0.00416666666666667,741801066.667645,738710228.889863,3090837.77778184
low,2030,0.25,0.4,0.05,1,0.005,759628706.050417,755830562.520165,3798143.5302521
low,2031,0.25,0.4,0.05,1,0.005,777377385.802562,773490498.873549,3886886.92901278
low,2032,0.25,0.4,0.05,1,0.005,794701110.20822,790727604.657179,3973505.55104113
low,2033,0.25,0.4,0.05,1,0.005,811459779.336498,807402480.439816,4057298.8966825
low,2034,0.25,0.4,0.05,1,0.005,827736750.721492,823598066.967885,4138683.75360751
low,2035,0.25,0.4,0.05,1,0.005,843911464.34658,839691907.024848,4219557.32173288
low,2036,0.25,0.4,0.05,1,0.005,858649876.65352,854356627.270252,4293249.38326764
low,2037,0.25,0.4,0.05,1,0.005,871641765.462096,867283556.634786,4358208.82731044
low,2038,0.25,0.4,0.05,1,0.005,882877197.365525,878462811.378697,4414385.98682761
low,2039,0.25,0.4,0.05,1,0.005,892044518.590146,887584295.997196,4460222.5929507
low,2040,0.25,0.4,0.05,1,0.005,899720677.272446,895222073.886083,4498603.3863622
low,2041,0.25,0.4,0.05,1,0.005,906187516.985882,901656579.400952,4530937.58492947
low,2042,0.25,0.4,0.05,1,0.005,911776619.733912,907217736.635243,4558883.09866953
low,2043,0.25,0.4,0.05,1,0.005,916664102.826891,912080782.312757,4583320.51413441
low,2044,0.25,0.4,0.05,1,0.005,920855695.045438,916251416.57021,4604278.47522724
