check_name,status,details
来源清单已读取,PASS,"source_count=13"
参数表已读取,PASS,"parameter_count=36"
画像数量为 5,PASS,"profile_count=5"
候选方案数量为 15,PASS,"plan_count=15"
每类画像均有 3 套针对性方案,PASS,"unique_plan_names=15"
候选集中无通用综合平衡型,PASS,"targeted_plan_names=15"
全部候选方案通过四项指南范围初筛,PASS,"safe_count=15,total=15"
TOPSIS 得分在 0-1 内,PASS,"min=0.0000,max=0.8666"
失败因素覆盖度使用 0、0.5、1 三档,PASS,"five discrete coverage columns checked"
画像匹配度在 0-100 内,PASS,"min=52.0270,max=79.3338"
时间适配度在 0-100 内,PASS,"min=0.0000,max=100.0000"
6 个 TOPSIS 权重和为 1,PASS,"weight_count=6,sum=1.000000000000"
每类画像均有 1、2、3 名,PASS,"ranking_rows=15"
权重敏感性共 60 个且每类 12 个情景,PASS,"total=60,per_profile=[12 12 12 12 12]"
