scope,scenario,year,baseline_p05,baseline_p50,baseline_p95,scenario_p05,scenario_p50,scenario_p95,avoidable_p05,avoidable_p50,avoidable_p95
policy_only_primary,low,2024,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,0,0,0
policy_only_primary,low,2025,670715467.916227,670715467.916227,670715467.916227,669902682.139794,670167775.925752,670367452.153309,348015.762917578,547691.990474463,812785.776432812
policy_only_primary,low,2026,688388975.163185,688388975.163185,688388975.163185,686720569.425043,687264727.561741,687674603.046138,714372.117046297,1124247.60144317,1668405.73814154
policy_only_primary,low,2027,706332053.282423,706332053.282423,706332053.282423,703764213.383948,704601726.071989,705232564.601359,1099488.68106443,1730327.2104342,2567839.89847517
policy_only_primary,low,2028,724190735.15468,724190735.15468,724190735.15468,720680382.660279,721825300.127798,722687684.736142,1503050.4185372,2365435.02688134,3510352.4944005
policy_only_primary,low,2029,741801066.667645,741801066.667645,741801066.667645,737306423.374243,738772371.772614,739876566.067178,1924500.60046685,3028694.89503133,4494643.29340243
policy_only_primary,low,2030,759628706.050417,759628706.050417,759628706.050417,754105510.860963,755906926.148747,757263803.706731,2364902.34368598,3721779.90167004,5523195.18945408
policy_only_primary,low,2031,777377385.802562,777377385.802562,777377385.802562,771725141.484441,773568646.733793,774957227.655602,2420158.1469605,3808739.06876916,5652244.31812102
policy_only_primary,low,2032,794701110.20822,794701110.20822,794701110.20822,788922906.57532,790807494.029356,792227019.243658,2474090.964562,3893616.17886448,5778203.63290024
policy_only_primary,low,2033,811459779.336498,811459779.336498,811459779.336498,805559724.857291,807484054.520291,808933514.703955,2526264.63254333,3975724.81620747,5900054.4792068
policy_only_primary,low,2034,827736750.721492,827736750.721492,827736750.721492,821718347.778968,823681277.332754,825159812.059031,2576938.66246068,4055473.38873792,6018402.94252366
policy_only_primary,low,2035,843911464.34658,843911464.34658,843911464.34658,837775456.448144,839776743.394387,841284170.006595,2627294.33998543,4134720.95219314,6136007.89843607
policy_only_primary,low,2036,858649876.65352,858649876.65352,858649876.65352,852406707.022904,854442945.256579,855976698.178918,2673178.47460181,4206931.39694017,6243169.63061589
policy_only_primary,low,2037,871641765.462096,871641765.462096,871641765.462096,865304132.921906,867371180.664136,868928140.1902,2713625.27189577,4270584.7979601,6337632.54018992
policy_only_primary,low,2038,882877197.365524,882877197.365524,882877197.365524,876457872.963315,878551564.878724,880128593.558682,2748603.80684203,4325632.48680031,6419324.40220904
policy_only_primary,low,2039,892044518.590146,892044518.590146,892044518.590146,885558539.381339,887673971.065757,889267374.762006,2777143.82814026,4370547.52438939,6485979.20880699
policy_only_primary,low,2040,899720677.272446,899720677.272446,899720677.272446,893178885.37203,895312520.620231,896919635.761775,2801041.51067078,4408156.65221488,6541791.90041524
policy_only_primary,low,2041,906187516.985882,906187516.985882,906187516.985882,899598705.248392,901747676.230788,903366342.686294,2821174.29958826,4439840.75509447,6588811.73749053
policy_only_primary,low,2042,911776619.733912,911776619.733912,911776619.733912,905147170.109563,907309395.324,908938045.246466,2838574.48744661,4467224.40991199,6629449.62434947
policy_only_primary,low,2043,916664102.826892,916664102.826892,916664102.826892,909999116.732037,912172932.328318,913810312.458148,2853790.36874396,4491170.4985739,6664986.09485501
policy_only_primary,low,2044,920855695.045438,920855695.045438,920855695.045438,914160232.242958,916343987.956355,917988855.26692,2866839.77851808,4511707.08908284,6695462.80247962
policy_only_primary,low,2045,924341289.608347,924341289.608347,924341289.608347,917620483.346663,919812504.944804,921463598.356359,2877691.25198835,4528784.66354299,6720806.261684
policy_only_primary,low,2046,927112908.269566,927112908.269566,927112908.269566,920371949.806241,922570544.136808,924226588.318563,2886319.95100343,4542364.13275766,6740958.46332508
policy_only_primary,low,2047,929209886.157738,929209886.157738,929209886.157738,922453680.747988,924657247.939633,926317037.822693,2892848.3350454,4552638.21810526,6756205.4097504
policy_only_primary,low,2048,930665250.6678,930665250.6678,930665250.6678,923898463.427483,926105481.931404,927767871.441658,2897379.22614169,4559768.73639667,6766787.24031699
policy_only_primary,low,2049,931491550.794284,931491550.794284,931491550.794284,924718755.596596,926927733.6232,928591599.102028,2899951.69225591,4563817.17108452,6772795.1976878
policy_only_primary,low,2050,931725379.155847,931725379.155847,931725379.155847,924950883.812191,927160416.349152,928824699.501054,2900679.65479326,4564962.80669516,6774495.34365582
policy_only_primary,medium,2024,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,0,0,0
policy_only_primary,medium,2025,670715467.916227,670715467.916227,670715467.916227,666266760.704949,667396665.065074,668317332.52179,2398135.3944366,3318802.85115218,4448707.21127796
policy_only_primary,medium,2026,688388975.163185,688388975.163185,688388975.163185,679257111.818846,681576467.019989,683466321.533002,4922653.63018274,6812508.14319575,9131863.34433895
policy_only_primary,medium,2027,706332053.282423,706332053.282423,706332053.282423,692277220.871491,695846935.772415,698755607.032581,7576446.24984217,10485117.5100081,14054832.4109326
policy_only_primary,medium,2028,724190735.15468,724190735.15468,724190735.15468,704977147.874026,709857108.503269,713833392.780018,10357342.374662,14333626.6514108,19213587.2806541
policy_only_primary,medium,2029,741801066.667645,741801066.667645,741801066.667645,717200055.415656,723448340.267187,728539561.016573,13261505.6510721,18352726.400458,24601011.2519888
policy_only_primary,medium,2030,759628706.050417,759628706.050417,759628706.050417,729398011.836676,737076151.030719,743332444.159193,16296261.8912237,22552555.019698,30230694.2137403
policy_only_primary,medium,2031,777377385.802562,777377385.802562,777377385.802562,746440353.207964,754297891.669783,760700362.716875,16677023.0856871,23079494.1327792,30937032.5945981
policy_only_primary,medium,2032,794701110.20822,794701110.20822,794701110.20822,763074651.041167,771107293.427162,777652442.465614,17048667.7426062,23593816.7810583,31626459.1670528
policy_only_primary,medium,2033,811459779.336498,811459779.336498,811459779.336498,779166380.916346,787368415.787444,794051589.028608,17408190.3078904,24091363.5490543,32293398.4201524
policy_only_primary,medium,2034,827736750.721492,827736750.721492,827736750.721492,794795583.015179,803162141.489658,809979371.676561,17757379.0449314,24574609.2318336,32941167.7063132
policy_only_primary,medium,2035,843911464.34658,843911464.34658,843911464.34658,810326596.872604,818856645.354304,825807090.293232,18104374.0533487,25054818.9922761,33584867.4739763
policy_only_primary,medium,2036,858649876.65352,858649876.65352,858649876.65352,824478469.423873,833157490.134098,840229320.464212,18420556.1893076,25492386.5194216,34171407.2296468
policy_only_primary,medium,2037,871641765.462096,871641765.462096,871641765.462096,836953324.299025,845763663.809963,852942495.184182,18699270.2779141,25878101.6521325,34688441.1630707
policy_only_primary,medium,2038,882877197.365524,882877197.365524,882877197.365524,847741623.407805,856665527.887224,863936894.147042,18940303.2184823,26211669.4783006,35135573.9577196
policy_only_primary,medium,2039,892044518.590146,892044518.590146,892044518.590146,856544115.759461,865560681.25582,872907549.465903,19136969.1242432,26483837.3343266,35500402.8306852
policy_only_primary,medium,2040,899720677.272446,899720677.272446,899720677.272446,863914788.874914,873008943.085823,880419032.048933,19301645.2235125,26711734.1866225,35805888.3975317
