year,location,location_code,iso3,variant,total_population_persons,population_under18_persons,population_18plus_persons,adult_share_percent,source_unit,adult_estimation_method
2024,China,156,CHN,Medium,1419321285.0,278205981.0,1141115304.0,80.39866068802033,thousand_persons,sum_single_ages_18plus
2025,China,156,CHN,Medium,1416096093.0,270206465.0,1145889628.0,80.91891741417297,thousand_persons,sum_single_ages_18plus
2026,China,156,CHN,Medium,1412914090.0,261685546.0,1151228544.0,81.47901929408886,thousand_persons,sum_single_ages_18plus
2027,China,156,CHN,Medium,1409679406.0,252647341.0,1157032065.0,82.07767383671349,thousand_persons,sum_single_ages_18plus
2028,China,156,CHN,Medium,1406136744.0,243401478.0,1162735266.0,82.69005635201579,thousand_persons,sum_single_ages_18plus
2029,China,156,CHN,Medium,1402282747.0,234167019.0,1168115728.0,83.30101261668023,thousand_persons,sum_single_ages_18plus
2030,China,156,CHN,Medium,1398153829.0,224214314.0,1173939515.0,83.9635446866126,thousand_persons,sum_single_ages_18plus
2031,China,156,CHN,Medium,1393748665.0,213988970.0,1179759695.0,84.64651659415222,thousand_persons,sum_single_ages_18plus
2032,China,156,CHN,Medium,1389060039.0,203974150.0,1185085889.0,85.31567072170306,thousand_persons,sum_single_ages_18plus
2033,China,156,CHN,Medium,1384096523.0,194335181.0,1189761342.0,85.95941989805866,thousand_persons,sum_single_ages_18plus
2034,China,156,CHN,Medium,1378876943.0,184917328.0,1193959615.0,86.58927985279975,thousand_persons,sum_single_ages_18plus
2035,China,156,CHN,Medium,1373427531.0,175166273.0,1198261258.0,87.24604909641934,thousand_persons,sum_single_ages_18plus
2036,China,156,CHN,Medium,1367742785.0,166929558.0,1200813227.0,87.79525216066119,thousand_persons,sum_single_ages_18plus
2037,China,156,CHN,Medium,1361830056.0,160550124.0,1201279932.0,88.21070784180137,thousand_persons,sum_single_ages_18plus
2038,China,156,CHN,Medium,1355722715.0,155974996.0,1199747719.0,88.49506655938859,thousand_persons,sum_single_ages_18plus
2039,China,156,CHN,Medium,1349394723.0,153506566.0,1195888157.0,88.62404281093369,thousand_persons,sum_single_ages_18plus
2040,China,156,CHN,Medium,1342816659.0,152256474.0,1190560185.0,88.66141010542825,thousand_persons,sum_single_ages_18plus
2041,China,156,CHN,Medium,1335990233.0,151802038.0,1184188195.0,88.63748893888807,thousand_persons,sum_single_ages_18plus
2042,China,156,CHN,Medium,1328909237.0,151673093.0,1177236144.0,88.58664769744541,thousand_persons,sum_single_ages_18plus
2043,China,156,CHN,Medium,1321590803.0,151645961.0,1169944842.0,88.52549816056793,thousand_persons,sum_single_ages_18plus
2044,China,156,CHN,Medium,1314015992.0,151688953.0,1162327039.0,88.45608014487544,thousand_persons,sum_single_ages_18plus
2045,China,156,CHN,Medium,1306113785.0,151740390.0,1154373395.0,88.38229932624132,thousand_persons,sum_single_ages_18plus
2046,China,156,CHN,Medium,1297817586.0,151741640.0,1146075946.0,88.30793775358812,thousand_persons,sum_single_ages_18plus
2047,China,156,CHN,Medium,1289120435.0,151637016.0,1137483419.0,88.23717227009904,thousand_persons,sum_single_ages_18plus
2048,China,156,CHN,Medium,1279992589.0,151358953.0,1128633636.0,88.17501333204984,thousand_persons,sum_single_ages_18plus
2049,China,156,CHN,Medium,1270381152.0,150843929.0,1119537223.0,88.12608887005905,thousand_persons,sum_single_ages_18plus
2050,China,156,CHN,Medium,1260289090.0,150057049.0,1110232041.0,88.09344219586951,thousand_persons,sum_single_ages_18plus
